(-4, -4, 78), [0, 0, 2], 3.13.ae_ae_da 
(-4, -3, 39), [0, 1, 3], 3.13.ae_ad_bn 
(-4, -3, 52), [0, 1, 0], 3.13.ae_ad_ca 
(-4, -3, 65), [0, 1, 1], 3.13.ae_ad_cn 
(-4, -3, 78), [0, 1, 2], 3.13.ae_ad_da 
(-4, -2, 26), [0, 2, 2], 3.13.ae_ac_ba 
(-4, -2, 52), [0, 2, 0], 3.13.ae_ac_ca 
(-4, -1, 26), [0, 3, 2], 3.13.ae_ab_ba 
(-4, -1, 39), [0, 3, 3], 3.13.ae_ab_bn 
(-4, -1, 52), [0, 3, 0], 3.13.ae_ab_ca 
(-4, -1, 65), [0, 3, 1], 3.13.ae_ab_cn 
(-4, 1, 13), [0, 1, 1], 3.13.ae_b_n 
(-4, 1, 26), [0, 1, 2], 3.13.ae_b_ba 
(-4, 1, 39), [0, 1, 3], 3.13.ae_b_bn 
(-4, 2, 0), [0, 2, 0], 3.13.ae_c_a 
(-4, 2, 26), [0, 2, 2], 3.13.ae_c_ba 
(-4, 2, 52), [0, 2, 0], 3.13.ae_c_ca 
(-4, 3, 0), [0, 3, 0], 3.13.ae_d_a 
(-4, 3, 26), [0, 3, 2], 3.13.ae_d_ba 
(-4, 3, 39), [0, 3, 3], 3.13.ae_d_bn 
(-4, 4, 0), [0, 0, 0], 3.13.ae_e_a 
(-4, 4, 26), [0, 0, 2], 3.13.ae_e_ba 
(-4, 5, 0), [0, 1, 0], 3.13.ae_f_a 
(-4, 5, 13), [0, 1, 1], 3.13.ae_f_n 
(-4, 5, 26), [0, 1, 2], 3.13.ae_f_ba 
(-4, 5, 39), [0, 1, 3], 3.13.ae_f_bn 
(-4, 6, -26), [0, 2, 2], 3.13.ae_g_aba 
(-4, 6, 0), [0, 2, 0], 3.13.ae_g_a 
(-4, 6, 26), [0, 2, 2], 3.13.ae_g_ba 
(-4, 7, -26), [0, 3, 2], 3.13.ae_h_aba 
(-4, 7, -13), [0, 3, 3], 3.13.ae_h_an 
(-4, 7, 0), [0, 3, 0], 3.13.ae_h_a 
(-4, 7, 13), [0, 3, 1], 3.13.ae_h_n 
(-4, 7, 26), [0, 3, 2], 3.13.ae_h_ba 
(-4, 8, -26), [0, 0, 2], 3.13.ae_i_aba 
(-4, 8, 0), [0, 0, 0], 3.13.ae_i_a 
(-4, 9, -52), [0, 1, 0], 3.13.ae_j_aca 
(-4, 9, -39), [0, 1, 1], 3.13.ae_j_abn 
(-4, 9, -26), [0, 1, 2], 3.13.ae_j_aba 
(-4, 9, -13), [0, 1, 3], 3.13.ae_j_an 
(-4, 9, 0), [0, 1, 0], 3.13.ae_j_a 
(-4, 9, 13), [0, 1, 1], 3.13.ae_j_n 
(-4, 10, -52), [0, 2, 0], 3.13.ae_k_aca 
(-4, 10, -26), [0, 2, 2], 3.13.ae_k_aba 
(-4, 10, 0), [0, 2, 0], 3.13.ae_k_a 
(-4, 11, -65), [0, 3, 3], 3.13.ae_l_acn 
(-4, 11, -52), [0, 3, 0], 3.13.ae_l_aca 
(-4, 11, -39), [0, 3, 1], 3.13.ae_l_abn 
(-4, 11, -26), [0, 3, 2], 3.13.ae_l_aba 
(-4, 11, -13), [0, 3, 3], 3.13.ae_l_an 
(-4, 11, 0), [0, 3, 0], 3.13.ae_l_a 
(-4, 12, -52), [0, 0, 0], 3.13.ae_m_aca 
(-4, 12, -26), [0, 0, 2], 3.13.ae_m_aba 
(-4, 12, 0), [0, 0, 0], 3.13.ae_m_a 
(-4, 14, -78), [0, 2, 2], 3.13.ae_o_ada 
(-4, 14, -52), [0, 2, 0], 3.13.ae_o_aca 
(-4, 15, -91), [0, 3, 1], 3.13.ae_p_adn 
(-4, 15, -78), [0, 3, 2], 3.13.ae_p_ada 
(-4, 15, -65), [0, 3, 3], 3.13.ae_p_acn 
(-4, 15, -52), [0, 3, 0], 3.13.ae_p_aca 
(-4, 15, -39), [0, 3, 1], 3.13.ae_p_abn 
(-4, 15, -26), [0, 3, 2], 3.13.ae_p_aba 
(-4, 15, -13), [0, 3, 3], 3.13.ae_p_an 
(-4, 16, -52), [0, 0, 0], 3.13.ae_q_aca 
(-4, 17, -91), [0, 1, 1], 3.13.ae_r_adn 
(-4, 17, -78), [0, 1, 2], 3.13.ae_r_ada 
(-4, 17, -65), [0, 1, 3], 3.13.ae_r_acn 
(-4, 17, -39), [0, 1, 1], 3.13.ae_r_abn 
(-4, 17, -26), [0, 1, 2], 3.13.ae_r_aba 
(-4, 18, -78), [0, 2, 2], 3.13.ae_s_ada 
(-4, 18, -52), [0, 2, 0], 3.13.ae_s_aca 
(-4, 18, -26), [0, 2, 2], 3.13.ae_s_aba 
(-4, 19, -117), [0, 3, 3], 3.13.ae_t_aen 
(-4, 19, -91), [0, 3, 1], 3.13.ae_t_adn 
(-4, 19, -78), [0, 3, 2], 3.13.ae_t_ada 
(-4, 19, -65), [0, 3, 3], 3.13.ae_t_acn 
