(-3, -4, 85), [14, 13, 0], 3.17.ad_ae_dh 
(-3, -4, 119), [14, 13, 0], 3.17.ad_ae_ep 
(-3, -2, -17), [14, 15, 0], 3.17.ad_ac_ar 
(-3, -2, 51), [14, 15, 0], 3.17.ad_ac_bz 
(-3, -2, 85), [14, 15, 0], 3.17.ad_ac_dh 
(-3, 2, -17), [14, 2, 0], 3.17.ad_c_ar 
(-3, 2, 17), [14, 2, 0], 3.17.ad_c_r 
(-3, 2, 51), [14, 2, 0], 3.17.ad_c_bz 
(-3, 2, 85), [14, 2, 0], 3.17.ad_c_dh 
(-3, 4, -51), [14, 4, 0], 3.17.ad_e_abz 
(-3, 4, -17), [14, 4, 0], 3.17.ad_e_ar 
