(-3, 7, -9), [6, 7, 0], 3.9.ad_h_aj 
(-3, 7, -6), [6, 7, 3], 3.9.ad_h_ag 
(-3, 7, -3), [6, 7, 6], 3.9.ad_h_ad 
(-3, 7, 3), [6, 7, 3], 3.9.ad_h_d 
(-3, 7, 9), [6, 7, 0], 3.9.ad_h_j 
(-3, 8, -42), [6, 8, 3], 3.9.ad_i_abq 
(-3, 8, -36), [6, 8, 0], 3.9.ad_i_abk 
(-3, 8, -30), [6, 8, 6], 3.9.ad_i_abe 
(-3, 8, -24), [6, 8, 3], 3.9.ad_i_ay 
(-3, 8, -6), [6, 8, 3], 3.9.ad_i_ag 
(-3, 8, 0), [6, 8, 0], 3.9.ad_i_a 
(-3, 10, -42), [6, 1, 3], 3.9.ad_k_abq 
(-3, 10, -36), [6, 1, 0], 3.9.ad_k_abk 
(-3, 10, -30), [6, 1, 6], 3.9.ad_k_abe 
(-3, 10, -24), [6, 1, 3], 3.9.ad_k_ay 
(-3, 10, -18), [6, 1, 0], 3.9.ad_k_as 
(-3, 11, -63), [6, 2, 0], 3.9.ad_l_acl 
(-3, 11, -60), [6, 2, 3], 3.9.ad_l_aci 
(-3, 11, -57), [6, 2, 6], 3.9.ad_l_acf 
(-3, 11, -51), [6, 2, 3], 3.9.ad_l_abz 
(-3, 11, -45), [6, 2, 0], 3.9.ad_l_abt 
(-3, 11, -42), [6, 2, 3], 3.9.ad_l_abq 
(-3, 11, -33), [6, 2, 3], 3.9.ad_l_abh 
(-3, 11, -30), [6, 2, 6], 3.9.ad_l_abe 
(-3, 11, -27), [6, 2, 0], 3.9.ad_l_abb 
(-3, 11, -21), [6, 2, 6], 3.9.ad_l_av 
(-3, 11, -12), [6, 2, 6], 3.9.ad_l_am 
(-3, 11, -9), [6, 2, 0], 3.9.ad_l_aj 
(-3, 13, -63), [6, 4, 0], 3.9.ad_n_acl 
(-3, 13, -60), [6, 4, 3], 3.9.ad_n_aci 
(-3, 13, -51), [6, 4, 3], 3.9.ad_n_abz 
(-3, 13, -48), [6, 4, 6], 3.9.ad_n_abw 
(-3, 13, -45), [6, 4, 0], 3.9.ad_n_abt 
(-3, 13, -39), [6, 4, 6], 3.9.ad_n_abn 
(-3, 13, -36), [6, 4, 0], 3.9.ad_n_abk 
(-3, 13, -33), [6, 4, 3], 3.9.ad_n_abh 
(-3, 13, -27), [6, 4, 0], 3.9.ad_n_abb 
(-3, 13, -21), [6, 4, 6], 3.9.ad_n_av 
(-3, 13, -18), [6, 4, 0], 3.9.ad_n_as 
(-3, 13, -15), [6, 4, 3], 3.9.ad_n_ap 
(-3, 14, -48), [6, 5, 6], 3.9.ad_o_abw 
(-3, 14, -42), [6, 5, 3], 3.9.ad_o_abq 
(-3, 14, -36), [6, 5, 0], 3.9.ad_o_abk 
(-3, 14, -30), [6, 5, 6], 3.9.ad_o_abe 
(-3, 16, -60), [6, 7, 3], 3.9.ad_q_aci 
(-3, 16, -48), [6, 7, 6], 3.9.ad_q_abw 
(-3, 16, -36), [6, 7, 0], 3.9.ad_q_abk 
(-3, 16, -30), [6, 7, 6], 3.9.ad_q_abe 
(-3, 16, -24), [6, 7, 3], 3.9.ad_q_ay 
(-3, 17, -57), [6, 8, 6], 3.9.ad_r_acf 
(-3, 17, -51), [6, 8, 3], 3.9.ad_r_abz 
(-3, 17, -48), [6, 8, 6], 3.9.ad_r_abw 
(-3, 17, -45), [6, 8, 0], 3.9.ad_r_abt 
(-3, 17, -39), [6, 8, 6], 3.9.ad_r_abn 
(-3, 17, -36), [6, 8, 0], 3.9.ad_r_abk 
(-3, 17, -27), [6, 8, 0], 3.9.ad_r_abb 
(-3, 19, -51), [6, 1, 3], 3.9.ad_t_abz 
