(-4, -3, 52), [9, 10, 0], 3.13.ae_ad_ca 
(-4, -3, 65), [9, 10, 0], 3.13.ae_ad_cn 
(-4, -3, 78), [9, 10, 0], 3.13.ae_ad_da 
(-4, -2, 26), [9, 11, 0], 3.13.ae_ac_ba 
(-4, -2, 52), [9, 11, 0], 3.13.ae_ac_ca 
(-4, -1, 26), [9, 12, 0], 3.13.ae_ab_ba 
(-4, -1, 39), [9, 12, 0], 3.13.ae_ab_bn 
(-4, -1, 52), [9, 12, 0], 3.13.ae_ab_ca 
(-4, -1, 65), [9, 12, 0], 3.13.ae_ab_cn 
(-4, 1, 13), [9, 1, 0], 3.13.ae_b_n 
(-4, 1, 26), [9, 1, 0], 3.13.ae_b_ba 
(-4, 1, 39), [9, 1, 0], 3.13.ae_b_bn 
(-4, 2, 0), [9, 2, 0], 3.13.ae_c_a 
(-4, 2, 26), [9, 2, 0], 3.13.ae_c_ba 
(-4, 2, 52), [9, 2, 0], 3.13.ae_c_ca 
(-4, 3, 0), [9, 3, 0], 3.13.ae_d_a 
(-4, 3, 26), [9, 3, 0], 3.13.ae_d_ba 
(-4, 3, 39), [9, 3, 0], 3.13.ae_d_bn 
(-4, 4, 0), [9, 4, 0], 3.13.ae_e_a 
(-4, 4, 26), [9, 4, 0], 3.13.ae_e_ba 
(-4, 5, 0), [9, 5, 0], 3.13.ae_f_a 
(-4, 5, 13), [9, 5, 0], 3.13.ae_f_n 
(-4, 5, 26), [9, 5, 0], 3.13.ae_f_ba 
(-4, 5, 39), [9, 5, 0], 3.13.ae_f_bn 
(-4, 6, -26), [9, 6, 0], 3.13.ae_g_aba 
(-4, 6, 0), [9, 6, 0], 3.13.ae_g_a 
(-4, 6, 26), [9, 6, 0], 3.13.ae_g_ba 
(-4, 7, -26), [9, 7, 0], 3.13.ae_h_aba 
(-4, 7, -13), [9, 7, 0], 3.13.ae_h_an 
(-4, 7, 0), [9, 7, 0], 3.13.ae_h_a 
(-4, 7, 13), [9, 7, 0], 3.13.ae_h_n 
(-4, 7, 26), [9, 7, 0], 3.13.ae_h_ba 
(-4, 8, -26), [9, 8, 0], 3.13.ae_i_aba 
(-4, 8, 0), [9, 8, 0], 3.13.ae_i_a 
(-4, 9, -52), [9, 9, 0], 3.13.ae_j_aca 
(-4, 9, -39), [9, 9, 0], 3.13.ae_j_abn 
(-4, 9, -26), [9, 9, 0], 3.13.ae_j_aba 
(-4, 9, -13), [9, 9, 0], 3.13.ae_j_an 
(-4, 9, 0), [9, 9, 0], 3.13.ae_j_a 
(-4, 9, 13), [9, 9, 0], 3.13.ae_j_n 
(-4, 10, -52), [9, 10, 0], 3.13.ae_k_aca 
(-4, 10, -26), [9, 10, 0], 3.13.ae_k_aba 
(-4, 10, 0), [9, 10, 0], 3.13.ae_k_a 
(-4, 11, -65), [9, 11, 0], 3.13.ae_l_acn 
(-4, 11, -52), [9, 11, 0], 3.13.ae_l_aca 
(-4, 11, -39), [9, 11, 0], 3.13.ae_l_abn 
(-4, 11, -26), [9, 11, 0], 3.13.ae_l_aba 
(-4, 11, -13), [9, 11, 0], 3.13.ae_l_an 
(-4, 11, 0), [9, 11, 0], 3.13.ae_l_a 
(-4, 12, -52), [9, 12, 0], 3.13.ae_m_aca 
(-4, 12, -26), [9, 12, 0], 3.13.ae_m_aba 
(-4, 12, 0), [9, 12, 0], 3.13.ae_m_a 
(-4, 14, -78), [9, 1, 0], 3.13.ae_o_ada 
(-4, 14, -52), [9, 1, 0], 3.13.ae_o_aca 
(-4, 15, -91), [9, 2, 0], 3.13.ae_p_adn 
(-4, 15, -78), [9, 2, 0], 3.13.ae_p_ada 
(-4, 15, -65), [9, 2, 0], 3.13.ae_p_acn 
(-4, 15, -52), [9, 2, 0], 3.13.ae_p_aca 
(-4, 15, -39), [9, 2, 0], 3.13.ae_p_abn 
(-4, 15, -26), [9, 2, 0], 3.13.ae_p_aba 
(-4, 15, -13), [9, 2, 0], 3.13.ae_p_an 
(-4, 16, -52), [9, 3, 0], 3.13.ae_q_aca 
(-4, 17, -91), [9, 4, 0], 3.13.ae_r_adn 
(-4, 17, -78), [9, 4, 0], 3.13.ae_r_ada 
(-4, 17, -65), [9, 4, 0], 3.13.ae_r_acn 
(-4, 17, -39), [9, 4, 0], 3.13.ae_r_abn 
(-4, 17, -26), [9, 4, 0], 3.13.ae_r_aba 
(-4, 18, -78), [9, 5, 0], 3.13.ae_s_ada 
(-4, 18, -52), [9, 5, 0], 3.13.ae_s_aca 
(-4, 18, -26), [9, 5, 0], 3.13.ae_s_aba 
(-4, 19, -117), [9, 6, 0], 3.13.ae_t_aen 
