(0, 8, -13), [0, 8, 0], 3.13.a_i_an 
(0, 8, 13), [0, 8, 0], 3.13.a_i_n 
(0, 8, 39), [0, 8, 0], 3.13.a_i_bn 
(0, 8, 65), [0, 8, 0], 3.13.a_i_cn 
(0, 10, -39), [0, 10, 0], 3.13.a_k_abn 
(0, 10, -13), [0, 10, 0], 3.13.a_k_an 
(0, 10, 13), [0, 10, 0], 3.13.a_k_n 
(0, 10, 39), [0, 10, 0], 3.13.a_k_bn 
(0, 12, -39), [0, 12, 0], 3.13.a_m_abn 
(0, 12, -13), [0, 12, 0], 3.13.a_m_an 
(0, 12, 13), [0, 12, 0], 3.13.a_m_n 
