(-7, 34, -161), [16, 11, 0], 3.23.ah_bi_agf 
(-7, 34, -115), [16, 11, 0], 3.23.ah_bi_ael 
(-7, 36, -207), [16, 13, 0], 3.23.ah_bk_ahz 
(-7, 36, -161), [16, 13, 0], 3.23.ah_bk_agf 
(-7, 36, -115), [16, 13, 0], 3.23.ah_bk_ael 
(-7, 38, -253), [16, 15, 0], 3.23.ah_bm_ajt 
(-7, 38, -207), [16, 15, 0], 3.23.ah_bm_ahz 
(-7, 38, -161), [16, 15, 0], 3.23.ah_bm_agf 
(-7, 38, -115), [16, 15, 0], 3.23.ah_bm_ael 
(-7, 40, -253), [16, 17, 0], 3.23.ah_bo_ajt 
(-7, 40, -207), [16, 17, 0], 3.23.ah_bo_ahz 
(-7, 40, -161), [16, 17, 0], 3.23.ah_bo_agf 
(-7, 40, -115), [16, 17, 0], 3.23.ah_bo_ael 
(-7, 42, -299), [16, 19, 0], 3.23.ah_bq_aln 
(-7, 42, -253), [16, 19, 0], 3.23.ah_bq_ajt 
(-7, 42, -207), [16, 19, 0], 3.23.ah_bq_ahz 
(-7, 42, -161), [16, 19, 0], 3.23.ah_bq_agf 
(-7, 44, -299), [16, 21, 0], 3.23.ah_bs_aln 
(-7, 44, -253), [16, 21, 0], 3.23.ah_bs_ajt 
(-7, 44, -207), [16, 21, 0], 3.23.ah_bs_ahz 
(-7, 44, -161), [16, 21, 0], 3.23.ah_bs_agf 
(-7, 48, -299), [16, 2, 0], 3.23.ah_bw_aln 
(-7, 48, -253), [16, 2, 0], 3.23.ah_bw_ajt 
(-7, 48, -207), [16, 2, 0], 3.23.ah_bw_ahz 
(-7, 48, -161), [16, 2, 0], 3.23.ah_bw_agf 
(-7, 50, -299), [16, 4, 0], 3.23.ah_by_aln 
(-7, 50, -253), [16, 4, 0], 3.23.ah_by_ajt 
(-7, 50, -207), [16, 4, 0], 3.23.ah_by_ahz 
(-7, 52, -253), [16, 6, 0], 3.23.ah_ca_ajt 
(-7, 52, -207), [16, 6, 0], 3.23.ah_ca_ahz 
(-7, 54, -299), [16, 8, 0], 3.23.ah_cc_aln 
(-7, 54, -253), [16, 8, 0], 3.23.ah_cc_ajt 
(-7, 54, -207), [16, 8, 0], 3.23.ah_cc_ahz 
(-7, 56, -299), [16, 10, 0], 3.23.ah_ce_aln 
(-7, 56, -253), [16, 10, 0], 3.23.ah_ce_ajt 
(-7, 58, -299), [16, 12, 0], 3.23.ah_cg_aln 
(-7, 60, -299), [16, 14, 0], 3.23.ah_ci_aln 
(-7, 60, -253), [16, 14, 0], 3.23.ah_ci_ajt 
(-7, 62, -299), [16, 16, 0], 3.23.ah_ck_aln 
(-7, 64, -299), [16, 18, 0], 3.23.ah_cm_aln 
(-7, 64, -253), [16, 18, 0], 3.23.ah_cm_ajt 
(-7, 66, -299), [16, 20, 0], 3.23.ah_co_aln 
(-7, 68, -299), [16, 22, 0], 3.23.ah_cq_aln 
(-7, 70, -299), [16, 1, 0], 3.23.ah_cs_aln 
(-7, 72, -299), [16, 3, 0], 3.23.ah_cu_aln 
(-7, 74, -299), [16, 5, 0], 3.23.ah_cw_aln 
(-6, -20, 253), [17, 3, 0], 3.23.ag_au_jt 
(-6, -20, 299), [17, 3, 0], 3.23.ag_au_ln 
