(-2, -4, 0), [9, 7, 0], 3.11.ac_ae_a 
(-2, -4, 44), [9, 7, 0], 3.11.ac_ae_bs 
(-2, -3, 0), [9, 8, 0], 3.11.ac_ad_a 
(-2, -3, 11), [9, 8, 0], 3.11.ac_ad_l 
(-2, -3, 22), [9, 8, 0], 3.11.ac_ad_w 
(-2, -3, 33), [9, 8, 0], 3.11.ac_ad_bh 
(-2, -3, 44), [9, 8, 0], 3.11.ac_ad_bs 
(-2, -3, 66), [9, 8, 0], 3.11.ac_ad_co 
(-2, -2, 0), [9, 9, 0], 3.11.ac_ac_a 
(-2, -2, 44), [9, 9, 0], 3.11.ac_ac_bs 
(-2, -1, -22), [9, 10, 0], 3.11.ac_ab_aw 
(-2, -1, -11), [9, 10, 0], 3.11.ac_ab_al 
(-2, -1, 0), [9, 10, 0], 3.11.ac_ab_a 
(-2, -1, 11), [9, 10, 0], 3.11.ac_ab_l 
(-2, -1, 22), [9, 10, 0], 3.11.ac_ab_w 
(-2, -1, 33), [9, 10, 0], 3.11.ac_ab_bh 
(-2, -1, 44), [9, 10, 0], 3.11.ac_ab_bs 
(-2, -1, 55), [9, 10, 0], 3.11.ac_ab_cd 
(-2, 1, -33), [9, 1, 0], 3.11.ac_b_abh 
(-2, 1, -22), [9, 1, 0], 3.11.ac_b_aw 
(-2, 1, 0), [9, 1, 0], 3.11.ac_b_a 
(-2, 1, 11), [9, 1, 0], 3.11.ac_b_l 
(-2, 1, 22), [9, 1, 0], 3.11.ac_b_w 
(-2, 1, 33), [9, 1, 0], 3.11.ac_b_bh 
(-2, 1, 44), [9, 1, 0], 3.11.ac_b_bs 
