(2, 5, 0), [2, 1, 0], 3.8.c_f_a 
(2, 5, 4), [2, 1, 0], 3.8.c_f_e 
(2, 5, 8), [2, 1, 0], 3.8.c_f_i 
(2, 5, 16), [2, 1, 0], 3.8.c_f_q 
(2, 5, 20), [2, 1, 0], 3.8.c_f_u 
(2, 5, 24), [2, 1, 0], 3.8.c_f_y 
(2, 5, 28), [2, 1, 0], 3.8.c_f_bc 
(2, 5, 36), [2, 1, 0], 3.8.c_f_bk 
(2, 5, 40), [2, 1, 0], 3.8.c_f_bo 
(2, 7, -8), [2, 3, 0], 3.8.c_h_ai 
(2, 7, 0), [2, 3, 0], 3.8.c_h_a 
(2, 7, 8), [2, 3, 0], 3.8.c_h_i 
(2, 7, 12), [2, 3, 0], 3.8.c_h_m 
(2, 7, 16), [2, 3, 0], 3.8.c_h_q 
(2, 7, 20), [2, 3, 0], 3.8.c_h_u 
(2, 7, 24), [2, 3, 0], 3.8.c_h_y 
(2, 7, 28), [2, 3, 0], 3.8.c_h_bc 
(2, 7, 36), [2, 3, 0], 3.8.c_h_bk 
(2, 7, 40), [2, 3, 0], 3.8.c_h_bo 
(2, 7, 44), [2, 3, 0], 3.8.c_h_bs 
(2, 9, 0), [2, 1, 0], 3.8.c_j_a 
(2, 9, 8), [2, 1, 0], 3.8.c_j_i 
(2, 9, 12), [2, 1, 0], 3.8.c_j_m 
(2, 9, 20), [2, 1, 0], 3.8.c_j_u 
(2, 9, 24), [2, 1, 0], 3.8.c_j_y 
(2, 9, 28), [2, 1, 0], 3.8.c_j_bc 
(2, 9, 36), [2, 1, 0], 3.8.c_j_bk 
(2, 9, 40), [2, 1, 0], 3.8.c_j_bo 
(2, 11, 4), [2, 3, 0], 3.8.c_l_e 
(2, 11, 8), [2, 3, 0], 3.8.c_l_i 
(2, 11, 16), [2, 3, 0], 3.8.c_l_q 
(2, 11, 20), [2, 3, 0], 3.8.c_l_u 
(2, 11, 24), [2, 3, 0], 3.8.c_l_y 
(2, 11, 28), [2, 3, 0], 3.8.c_l_bc 
(2, 11, 36), [2, 3, 0], 3.8.c_l_bk 
(2, 11, 40), [2, 3, 0], 3.8.c_l_bo 
(2, 13, 12), [2, 1, 0], 3.8.c_n_m 
(2, 13, 16), [2, 1, 0], 3.8.c_n_q 
(2, 13, 24), [2, 1, 0], 3.8.c_n_y 
(2, 13, 28), [2, 1, 0], 3.8.c_n_bc 
(2, 13, 36), [2, 1, 0], 3.8.c_n_bk 
(2, 15, 20), [2, 3, 0], 3.8.c_p_u 
(2, 15, 36), [2, 3, 0], 3.8.c_p_bk 
(2, 17, 28), [2, 1, 0], 3.8.c_r_bc 
(2, 19, 24), [2, 3, 0], 3.8.c_t_y 
(4, -5, -48), [0, 3, 0], 3.8.e_af_abw 
(4, -1, -32), [0, 3, 0], 3.8.e_ab_abg 
(4, -1, -28), [0, 3, 0], 3.8.e_ab_abc 
(4, 1, -24), [0, 1, 0], 3.8.e_b_ay 
(4, 1, -16), [0, 1, 0], 3.8.e_b_aq 
(4, 3, -12), [0, 3, 0], 3.8.e_d_am 
(4, 3, -4), [0, 3, 0], 3.8.e_d_ae 
(4, 5, -8), [0, 1, 0], 3.8.e_f_ai 
(4, 5, -4), [0, 1, 0], 3.8.e_f_ae 
(4, 5, 4), [0, 1, 0], 3.8.e_f_e 
(4, 5, 8), [0, 1, 0], 3.8.e_f_i 
(4, 7, 0), [0, 3, 0], 3.8.e_h_a 
(4, 7, 8), [0, 3, 0], 3.8.e_h_i 
