(-1, 4, 6), [3, 0, 2], 3.5.ab_e_g 
(-1, 5, -19), [3, 1, 1], 3.5.ab_f_at 
(-1, 5, -17), [3, 1, 3], 3.5.ab_f_ar 
(-1, 5, -16), [3, 1, 0], 3.5.ab_f_aq 
(-1, 5, -14), [3, 1, 2], 3.5.ab_f_ao 
(-1, 5, -13), [3, 1, 3], 3.5.ab_f_an 
(-1, 5, -12), [3, 1, 0], 3.5.ab_f_am 
(-1, 5, -11), [3, 1, 1], 3.5.ab_f_al 
(-1, 5, -9), [3, 1, 3], 3.5.ab_f_aj 
(-1, 5, -8), [3, 1, 0], 3.5.ab_f_ai 
(-1, 5, -7), [3, 1, 1], 3.5.ab_f_ah 
(-1, 5, -6), [3, 1, 2], 3.5.ab_f_ag 
(-1, 5, -3), [3, 1, 1], 3.5.ab_f_ad 
(-1, 5, -2), [3, 1, 2], 3.5.ab_f_ac 
(-1, 5, -1), [3, 1, 3], 3.5.ab_f_ab 
(-1, 5, 1), [3, 1, 1], 3.5.ab_f_b 
(-1, 5, 3), [3, 1, 3], 3.5.ab_f_d 
(-1, 5, 4), [3, 1, 0], 3.5.ab_f_e 
(-1, 6, -14), [3, 2, 2], 3.5.ab_g_ao 
(-1, 6, -12), [3, 2, 0], 3.5.ab_g_am 
(-1, 6, -8), [3, 2, 0], 3.5.ab_g_ai 
(-1, 6, -6), [3, 2, 2], 3.5.ab_g_ag 
(-1, 6, -4), [3, 2, 0], 3.5.ab_g_ae 
(-1, 6, -2), [3, 2, 2], 3.5.ab_g_ac 
(-1, 6, 2), [3, 2, 2], 3.5.ab_g_c 
(-1, 7, -13), [3, 3, 3], 3.5.ab_h_an 
(-1, 7, -12), [3, 3, 0], 3.5.ab_h_am 
(-1, 7, -11), [3, 3, 1], 3.5.ab_h_al 
(-1, 7, -9), [3, 3, 3], 3.5.ab_h_aj 
(-1, 7, -8), [3, 3, 0], 3.5.ab_h_ai 
(-1, 7, -7), [3, 3, 1], 3.5.ab_h_ah 
(-1, 7, -6), [3, 3, 2], 3.5.ab_h_ag 
(-1, 7, -3), [3, 3, 1], 3.5.ab_h_ad 
(-1, 7, -1), [3, 3, 3], 3.5.ab_h_ab 
(-1, 7, 1), [3, 3, 1], 3.5.ab_h_b 
(-1, 8, -14), [3, 0, 2], 3.5.ab_i_ao 
