(-3, 12, -25), [1, 0, 3], 3.7.ad_m_az 
(-3, 12, -23), [1, 0, 1], 3.7.ad_m_ax 
(-3, 12, -19), [1, 0, 1], 3.7.ad_m_at 
(-3, 12, -17), [1, 0, 3], 3.7.ad_m_ar 
(-3, 14, -43), [1, 2, 1], 3.7.ad_o_abr 
(-3, 14, -41), [1, 2, 3], 3.7.ad_o_abp 
(-3, 14, -39), [1, 2, 1], 3.7.ad_o_abn 
(-3, 14, -37), [1, 2, 3], 3.7.ad_o_abl 
(-3, 14, -31), [1, 2, 1], 3.7.ad_o_abf 
(-3, 14, -29), [1, 2, 3], 3.7.ad_o_abd 
(-3, 14, -27), [1, 2, 1], 3.7.ad_o_abb 
(-3, 14, -25), [1, 2, 3], 3.7.ad_o_az 
(-3, 14, -23), [1, 2, 1], 3.7.ad_o_ax 
(-3, 16, -41), [1, 0, 3], 3.7.ad_q_abp 
(-3, 16, -39), [1, 0, 1], 3.7.ad_q_abn 
(-3, 16, -37), [1, 0, 3], 3.7.ad_q_abl 
(-3, 16, -33), [1, 0, 3], 3.7.ad_q_abh 
(-3, 16, -31), [1, 0, 1], 3.7.ad_q_abf 
(-3, 16, -29), [1, 0, 3], 3.7.ad_q_abd 
(-3, 17, -32), [1, 1, 0], 3.7.ad_r_abg 
(-3, 18, -39), [1, 2, 1], 3.7.ad_s_abn 
(-3, 20, -41), [1, 0, 3], 3.7.ad_u_abp 
(-3, 20, -37), [1, 0, 3], 3.7.ad_u_abl 
(-2, -6, 23), [2, 2, 3], 3.7.ac_ag_x 
(-2, -6, 25), [2, 2, 1], 3.7.ac_ag_z 
(-2, -6, 27), [2, 2, 3], 3.7.ac_ag_bb 
(-2, -6, 29), [2, 2, 1], 3.7.ac_ag_bd 
(-2, -6, 31), [2, 2, 3], 3.7.ac_ag_bf 
(-2, -6, 33), [2, 2, 1], 3.7.ac_ag_bh 
