(-14, 108, -565), [2, 0, 3], 3.19.ao_ee_avt 
(-14, 108, -563), [2, 0, 1], 3.19.ao_ee_avr 
(-14, 108, -561), [2, 0, 3], 3.19.ao_ee_avp 
(-14, 108, -559), [2, 0, 1], 3.19.ao_ee_avn 
(-14, 108, -557), [2, 0, 3], 3.19.ao_ee_avl 
(-14, 108, -555), [2, 0, 1], 3.19.ao_ee_avj 
(-14, 108, -553), [2, 0, 3], 3.19.ao_ee_avh 
(-14, 108, -549), [2, 0, 3], 3.19.ao_ee_avd 
(-14, 108, -547), [2, 0, 1], 3.19.ao_ee_avb 
(-14, 110, -591), [2, 2, 1], 3.19.ao_eg_awt 
(-14, 110, -587), [2, 2, 1], 3.19.ao_eg_awp 
(-14, 110, -586), [2, 2, 2], 3.19.ao_eg_awo 
(-14, 110, -585), [2, 2, 3], 3.19.ao_eg_awn 
(-14, 110, -583), [2, 2, 1], 3.19.ao_eg_awl 
(-14, 110, -581), [2, 2, 3], 3.19.ao_eg_awj 
(-14, 110, -579), [2, 2, 1], 3.19.ao_eg_awh 
(-14, 110, -577), [2, 2, 3], 3.19.ao_eg_awf 
