(-10, 50, -201), [6, 2, 7], 3.16.ak_by_aht 
(-10, 50, -199), [6, 2, 9], 3.16.ak_by_ahr 
(-10, 50, -195), [6, 2, 13], 3.16.ak_by_ahn 
(-10, 50, -193), [6, 2, 15], 3.16.ak_by_ahl 
(-10, 50, -191), [6, 2, 1], 3.16.ak_by_ahj 
(-10, 50, -189), [6, 2, 3], 3.16.ak_by_ahh 
(-10, 52, -223), [6, 4, 1], 3.16.ak_ca_aip 
(-10, 52, -221), [6, 4, 3], 3.16.ak_ca_ain 
(-10, 52, -219), [6, 4, 5], 3.16.ak_ca_ail 
(-10, 52, -217), [6, 4, 7], 3.16.ak_ca_aij 
(-10, 52, -213), [6, 4, 11], 3.16.ak_ca_aif 
(-10, 52, -211), [6, 4, 13], 3.16.ak_ca_aid 
(-10, 52, -209), [6, 4, 15], 3.16.ak_ca_aib 
(-10, 52, -207), [6, 4, 1], 3.16.ak_ca_ahz 
(-10, 52, -205), [6, 4, 3], 3.16.ak_ca_ahx 
(-10, 52, -203), [6, 4, 5], 3.16.ak_ca_ahv 
(-10, 52, -199), [6, 4, 9], 3.16.ak_ca_ahr 
(-10, 54, -239), [6, 6, 1], 3.16.ak_cc_ajf 
(-10, 54, -237), [6, 6, 3], 3.16.ak_cc_ajd 
(-10, 54, -235), [6, 6, 5], 3.16.ak_cc_ajb 
(-10, 54, -233), [6, 6, 7], 3.16.ak_cc_aiz 
(-10, 54, -231), [6, 6, 9], 3.16.ak_cc_aix 
(-10, 54, -229), [6, 6, 11], 3.16.ak_cc_aiv 
(-10, 54, -227), [6, 6, 13], 3.16.ak_cc_ait 
(-10, 54, -223), [6, 6, 1], 3.16.ak_cc_aip 
(-10, 54, -221), [6, 6, 3], 3.16.ak_cc_ain 
(-10, 54, -219), [6, 6, 5], 3.16.ak_cc_ail 
(-10, 54, -217), [6, 6, 7], 3.16.ak_cc_aij 
(-10, 54, -213), [6, 6, 11], 3.16.ak_cc_aif 
(-10, 54, -211), [6, 6, 13], 3.16.ak_cc_aid 
(-10, 56, -255), [6, 8, 1], 3.16.ak_ce_ajv 
(-10, 56, -253), [6, 8, 3], 3.16.ak_ce_ajt 
(-10, 56, -251), [6, 8, 5], 3.16.ak_ce_ajr 
(-10, 56, -249), [6, 8, 7], 3.16.ak_ce_ajp 
(-10, 56, -247), [6, 8, 9], 3.16.ak_ce_ajn 
(-10, 56, -245), [6, 8, 11], 3.16.ak_ce_ajl 
(-10, 56, -243), [6, 8, 13], 3.16.ak_ce_ajj 
(-10, 56, -241), [6, 8, 15], 3.16.ak_ce_ajh 
(-10, 56, -239), [6, 8, 1], 3.16.ak_ce_ajf 
(-10, 56, -237), [6, 8, 3], 3.16.ak_ce_ajd 
(-10, 56, -233), [6, 8, 7], 3.16.ak_ce_aiz 
(-10, 56, -231), [6, 8, 9], 3.16.ak_ce_aix 
(-10, 56, -227), [6, 8, 13], 3.16.ak_ce_ait 
(-10, 56, -225), [6, 8, 15], 3.16.ak_ce_air 
(-10, 58, -271), [6, 10, 1], 3.16.ak_cg_akl 
(-10, 58, -267), [6, 10, 5], 3.16.ak_cg_akh 
