(-11, 52, -191), [1, 0, 1], 3.16.al_ca_ahj 
(-11, 52, -189), [1, 0, 3], 3.16.al_ca_ahh 
(-11, 52, -187), [1, 0, 1], 3.16.al_ca_ahf 
(-11, 52, -185), [1, 0, 3], 3.16.al_ca_ahd 
(-11, 54, -207), [1, 2, 1], 3.16.al_cc_ahz 
(-11, 54, -205), [1, 2, 3], 3.16.al_cc_ahx 
(-11, 54, -203), [1, 2, 1], 3.16.al_cc_ahv 
(-11, 54, -201), [1, 2, 3], 3.16.al_cc_aht 
(-11, 54, -199), [1, 2, 1], 3.16.al_cc_ahr 
(-11, 56, -223), [1, 0, 1], 3.16.al_ce_aip 
(-11, 56, -221), [1, 0, 3], 3.16.al_ce_ain 
(-11, 56, -219), [1, 0, 1], 3.16.al_ce_ail 
(-11, 56, -217), [1, 0, 3], 3.16.al_ce_aij 
(-11, 56, -215), [1, 0, 1], 3.16.al_ce_aih 
(-11, 56, -213), [1, 0, 3], 3.16.al_ce_aif 
(-11, 58, -239), [1, 2, 1], 3.16.al_cg_ajf 
(-11, 58, -237), [1, 2, 3], 3.16.al_cg_ajd 
(-11, 58, -235), [1, 2, 1], 3.16.al_cg_ajb 
(-11, 58, -233), [1, 2, 3], 3.16.al_cg_aiz 
(-11, 58, -231), [1, 2, 1], 3.16.al_cg_aix 
(-11, 58, -229), [1, 2, 3], 3.16.al_cg_aiv 
(-11, 58, -227), [1, 2, 1], 3.16.al_cg_ait 
(-11, 60, -255), [1, 0, 1], 3.16.al_ci_ajv 
(-11, 60, -253), [1, 0, 3], 3.16.al_ci_ajt 
(-11, 60, -251), [1, 0, 1], 3.16.al_ci_ajr 
(-11, 60, -249), [1, 0, 3], 3.16.al_ci_ajp 
(-11, 60, -247), [1, 0, 1], 3.16.al_ci_ajn 
(-11, 60, -245), [1, 0, 3], 3.16.al_ci_ajl 
(-11, 60, -243), [1, 0, 1], 3.16.al_ci_ajj 
(-11, 60, -241), [1, 0, 3], 3.16.al_ci_ajh 
(-11, 62, -271), [1, 2, 1], 3.16.al_ck_akl 
(-11, 62, -269), [1, 2, 3], 3.16.al_ck_akj 
(-11, 62, -267), [1, 2, 1], 3.16.al_ck_akh 
(-11, 62, -265), [1, 2, 3], 3.16.al_ck_akf 
(-11, 62, -263), [1, 2, 1], 3.16.al_ck_akd 
(-11, 62, -261), [1, 2, 3], 3.16.al_ck_akb 
