(0, -4, 32), [0, 0, 0], 3.23.ae_cd_ahc 
(0, -4, 33), [0, 0, 1], 3.23.ae_ce_ahc 
(0, -4, 35), [0, 0, 3], 3.23.ae_cg_ahc 
(0, -4, 36), [0, 0, 0], 3.23.ae_ch_ahc 
(0, -4, 37), [0, 0, 1], 3.23.ae_ci_ahc 
(0, -4, 38), [0, 0, 2], 3.23.ae_cj_ahc 
(0, -4, 39), [0, 0, 3], 3.23.ae_ck_ahc 
(0, -4, 40), [0, 0, 0], 3.23.ae_cl_ahc 
(0, -4, 42), [0, 0, 2], 3.23.ae_cn_ahc 
(0, -4, 43), [0, 0, 3], 3.23.ae_co_ahc 
(0, -4, 44), [0, 0, 0], 3.23.ae_cp_ahc 
(0, -4, 48), [0, 0, 0], 3.23.ae_ct_ahc 
(-7, 4, 0), [1, 0, 0], 3.23.ad_af_hc 
(-4, 1, -23), [0, 1, 1], 3.23.ad_ae_fi 
(-2, -1, -23), [2, 3, 1], 3.23.ad_c_a 
(8, -11, 69), [0, 1, 1], 3.23.ad_e_bu 
(-6, 3, 0), [2, 3, 0], 3.23.ad_f_fi 
(0, -3, -17), [0, 1, 3], 3.23.ad_g_afi 
(-8, 5, 23), [0, 1, 3], 3.23.ad_g_bu 
(0, -3, -16), [0, 1, 0], 3.23.ad_h_afi 
(0, -3, -15), [0, 1, 1], 3.23.ad_i_afi 
(0, -3, -14), [0, 1, 2], 3.23.ad_j_afi 
(0, -3, -13), [0, 1, 3], 3.23.ad_k_afi 
(0, -3, -12), [0, 1, 0], 3.23.ad_l_afi 
(0, -3, -11), [0, 1, 1], 3.23.ad_m_afi 
(0, -3, -10), [0, 1, 2], 3.23.ad_n_afi 
(-5, 2, 0), [3, 2, 0], 3.23.ad_n_do 
(0, -3, -9), [0, 1, 3], 3.23.ad_o_afi 
(0, -3, -7), [0, 1, 1], 3.23.ad_q_afi 
(0, -3, -6), [0, 1, 2], 3.23.ad_r_afi 
(4, -7, 23), [0, 1, 3], 3.23.ad_s_aiw 
(0, -3, -5), [0, 1, 3], 3.23.ad_s_afi 
(1, -4, 0), [1, 0, 0], 3.23.ad_t_ahc 
(0, -3, -4), [0, 1, 0], 3.23.ad_t_afi 
(-4, 1, 0), [0, 1, 0], 3.23.ad_t_bu 
(0, -3, -3), [0, 1, 1], 3.23.ad_u_afi 
(0, -3, -2), [0, 1, 2], 3.23.ad_v_afi 
(0, -3, -1), [0, 1, 3], 3.23.ad_w_afi 
(0, -3, 1), [0, 1, 1], 3.23.ad_y_afi 
(0, -3, 2), [0, 1, 2], 3.23.ad_z_afi 
(-1, -2, 0), [3, 2, 0], 3.23.ad_z_ado 
(-2, -1, 0), [2, 3, 0], 3.23.ad_z_abu 
(0, -3, 3), [0, 1, 3], 3.23.ad_ba_afi 
(0, -3, 4), [0, 1, 0], 3.23.ad_bb_afi 
(0, -3, 5), [0, 1, 1], 3.23.ad_bc_afi 
(-6, 3, 23), [2, 3, 3], 3.23.ad_bc_a 
(0, -3, 7), [0, 1, 3], 3.23.ad_be_afi 
(0, -3, 8), [0, 1, 0], 3.23.ad_bf_afi 
(0, -3, 9), [0, 1, 1], 3.23.ad_bg_afi 
(0, -3, 10), [0, 1, 2], 3.23.ad_bh_afi 
(0, -3, 11), [0, 1, 3], 3.23.ad_bi_afi 
