(4, -9, 41), [0, 3, 1], 3.16.af_v_aeu 
(-4, -1, 1), [0, 3, 1], 3.16.af_v_abk 
(-8, 3, 31), [0, 3, 3], 3.16.af_x_afw 
(4, -9, 43), [0, 3, 3], 3.16.af_x_aem 
(-4, -1, 3), [0, 3, 3], 3.16.af_x_abs 
(-8, 3, 33), [0, 3, 1], 3.16.af_z_agm 
(0, -5, 9), [0, 3, 1], 3.16.af_z_age 
(4, -9, 45), [0, 3, 1], 3.16.af_z_aee 
(-4, -1, 5), [0, 3, 1], 3.16.af_z_aca 
(0, -5, 11), [0, 3, 3], 3.16.af_bb_age 
(4, -9, 47), [0, 3, 3], 3.16.af_bb_adw 
(-4, -1, 7), [0, 3, 3], 3.16.af_bb_aci 
(0, -5, 13), [0, 3, 1], 3.16.af_bd_age 
(4, -9, 49), [0, 3, 1], 3.16.af_bd_ado 
(-4, -1, 9), [0, 3, 1], 3.16.af_bd_acq 
(0, -5, 15), [0, 3, 3], 3.16.af_bf_age 
(4, -9, 51), [0, 3, 3], 3.16.af_bf_adg 
(-4, -1, 11), [0, 3, 3], 3.16.af_bf_acy 
(0, -5, 17), [0, 3, 1], 3.16.af_bh_age 
(-4, -1, 13), [0, 3, 1], 3.16.af_bh_adg 
(0, -5, 19), [0, 3, 3], 3.16.af_bj_age 
(-4, -1, 15), [0, 3, 3], 3.16.af_bj_ado 
(0, -5, 21), [0, 3, 1], 3.16.af_bl_age 
(-4, -1, 17), [0, 3, 1], 3.16.af_bl_adw 
(0, -5, 23), [0, 3, 3], 3.16.af_bn_age 
(-4, -1, 19), [0, 3, 3], 3.16.af_bn_aee 
(0, -5, 25), [0, 3, 1], 3.16.af_bp_age 
(-4, -1, 21), [0, 3, 1], 3.16.af_bp_aem 
(0, -5, 27), [0, 3, 3], 3.16.af_br_age 
(-4, -1, 23), [0, 3, 3], 3.16.af_br_aeu 
(0, -5, 29), [0, 3, 1], 3.16.af_bt_age 
(-4, -1, 25), [0, 3, 1], 3.16.af_bt_afc 
(0, -5, 31), [0, 3, 3], 3.16.af_bv_age 
(-4, -1, 27), [0, 3, 3], 3.16.af_bv_afk 
(0, -5, 33), [0, 3, 1], 3.16.af_bx_age 
(-4, -1, 29), [0, 3, 1], 3.16.af_bx_afs 
(0, -5, 35), [0, 3, 3], 3.16.af_bz_age 
(-4, -1, 31), [0, 3, 3], 3.16.af_bz_aga 
(0, -5, 37), [0, 3, 1], 3.16.af_cb_age 
(-8, 4, 1), [0, 0, 1], 3.16.ae_ap_eq 
