(0, 7, 27), [0, 3, 3], 3.11.h_bm_fy 
(0, 7, 29), [0, 3, 1], 3.11.h_bo_fy 
(0, 7, 30), [0, 3, 2], 3.11.h_bp_fy 
(0, 7, 31), [0, 3, 3], 3.11.h_bq_fy 
(6, 2, 0), [2, 2, 0], 3.11.i_x_bs 
(5, 3, 0), [1, 3, 0], 3.11.i_ba_co 
(6, 2, 11), [2, 2, 3], 3.11.i_bi_eg 
(4, 4, 11), [0, 0, 3], 3.11.i_bm_fc 
(0, 8, 32), [0, 0, 0], 3.11.i_br_gu 
(0, 8, 35), [0, 0, 3], 3.11.i_bu_gu 
(0, 8, 36), [0, 0, 0], 3.11.i_bv_gu 
(1, 7, 33), [1, 3, 1], 3.11.i_bz_hf 
(6, 3, 11), [2, 3, 3], 3.11.j_bo_fc 
(0, 9, 38), [0, 1, 2], 3.11.j_bx_hq 
(0, 9, 39), [0, 1, 3], 3.11.j_by_hq 
(0, 9, 41), [0, 1, 1], 3.11.j_ca_hq 
(0, 10, 45), [0, 2, 1], 3.11.k_ce_im 
(4, 8, 33), [0, 0, 1], 3.11.m_cy_lw 
