(-8, -1, 15), [0, 3, 3], 3.25.aj_bw_ago 
(5, -14, 94), [1, 2, 2], 3.25.aj_bx_aiw 
(-5, -4, 4), [3, 0, 0], 3.25.aj_bx_aim 
(-7, -2, 10), [1, 2, 2], 3.25.aj_bx_ago 
(-10, 1, 36), [2, 1, 0], 3.25.aj_bz_aly 
(-5, -4, 6), [3, 0, 2], 3.25.aj_bz_aiw 
(5, -14, 96), [1, 2, 0], 3.25.aj_bz_aim 
(-5, -4, 8), [3, 0, 0], 3.25.aj_cb_ajg 
(-5, -4, 12), [3, 0, 0], 3.25.aj_cf_aka 
(4, -13, 85), [0, 3, 1], 3.25.aj_cg_aly 
(-6, -3, 15), [2, 1, 3], 3.25.aj_cg_ajg 
(-5, -4, 14), [3, 0, 2], 3.25.aj_ch_akk 
(-7, -2, 20), [1, 2, 0], 3.25.aj_ch_ajg 
(-5, -4, 16), [3, 0, 0], 3.25.aj_cj_aku 
(-3, -6, 20), [1, 2, 0], 3.25.aj_cl_anw 
(-6, -3, 20), [2, 1, 0], 3.25.aj_cl_akk 
(-5, -4, 22), [3, 0, 2], 3.25.aj_cp_aly 
(2, -11, 65), [2, 1, 1], 3.25.aj_cq_aqe 
(-8, -1, 35), [0, 3, 3], 3.25.aj_cq_ams 
(-2, -7, 30), [2, 1, 2], 3.25.aj_cr_apu 
(-5, -4, 24), [3, 0, 0], 3.25.aj_cr_ami 
(-7, -2, 30), [1, 2, 2], 3.25.aj_cr_aly 
(-5, -4, 26), [3, 0, 2], 3.25.aj_ct_ams 
(-1, -8, 40), [3, 0, 0], 3.25.aj_cv_aqy 
(2, -11, 70), [2, 1, 2], 3.25.aj_cv_apu 
(-3, -6, 30), [1, 2, 2], 3.25.aj_cv_apa 
(-8, -1, 40), [0, 3, 0], 3.25.aj_cv_aog 
(-5, -4, 28), [3, 0, 0], 3.25.aj_cv_anc 
(-2, -7, 35), [2, 1, 3], 3.25.aj_cw_aqe 
(-8, -1, 45), [0, 3, 1], 3.25.aj_da_apu 
(-2, -7, 40), [2, 1, 0], 3.25.aj_db_aqo 
(-7, -2, 40), [1, 2, 0], 3.25.aj_db_aoq 
(-5, -4, 34), [3, 0, 2], 3.25.aj_db_aog 
