(0, 0, 27), [0, 0, 11], 3.16.a_br_a 
(4, -2, -15), [4, 14, 1], 3.16.c_ah_aeu 
(3, -1, -20), [3, 15, 12], 3.16.c_ah_ado 
(7, -5, 12), [7, 11, 12], 3.16.c_ah_acy 
(4, -2, -13), [4, 14, 3], 3.16.c_af_aem 
(4, -2, -11), [4, 14, 5], 3.16.c_ad_aee 
(3, -1, -16), [3, 15, 0], 3.16.c_ad_adc 
(7, -5, 16), [7, 11, 0], 3.16.c_ad_abw 
(-7, 9, 44), [9, 9, 12], 3.16.c_ad_au 
(1, 1, -20), [1, 1, 12], 3.16.c_ad_m 
(4, -2, -9), [4, 14, 7], 3.16.c_ab_adw 
(5, -3, 0), [5, 13, 0], 3.16.c_b_ads 
(4, -2, -7), [4, 14, 9], 3.16.c_b_ado 
(3, -1, -12), [3, 15, 4], 3.16.c_b_acq 
(-7, 9, 48), [9, 9, 0], 3.16.c_b_abw 
(7, -5, 20), [7, 11, 4], 3.16.c_b_au 
(1, 1, -16), [1, 1, 0], 3.16.c_b_q 
(0, 2, -15), [0, 2, 1], 3.16.c_b_cm 
(4, -2, -5), [4, 14, 11], 3.16.c_d_adg 
(0, 2, -13), [0, 2, 3], 3.16.c_d_cm 
(3, -1, -8), [3, 15, 8], 3.16.c_f_ace 
(7, -5, 24), [7, 11, 8], 3.16.c_f_i 
(1, 1, -12), [1, 1, 4], 3.16.c_f_u 
(0, 2, -11), [0, 2, 5], 3.16.c_f_cm 
(4, -2, -1), [4, 14, 15], 3.16.c_h_acq 
(0, 2, -9), [0, 2, 7], 3.16.c_h_cm 
(4, -2, 1), [4, 14, 1], 3.16.c_j_aci 
(3, -1, -4), [3, 15, 12], 3.16.c_j_abs 
(1, 1, -8), [1, 1, 8], 3.16.c_j_y 
(7, -5, 28), [7, 11, 12], 3.16.c_j_bk 
(0, 2, -7), [0, 2, 9], 3.16.c_j_cm 
(-5, 7, 28), [11, 7, 12], 3.16.c_j_dg 
(-1, 3, -4), [15, 3, 12], 3.16.c_j_dw 
(-4, 6, 17), [12, 6, 1], 3.16.c_j_eu 
