(-3, 2, 3), [14, 2, 3], 3.17.c_bq_by 
(-1, -1, 4), [16, 16, 4], 3.17.c_bs_cu 
(-2, 1, 3), [15, 1, 3], 3.17.c_bu_ck 
(-2, 2, 2), [15, 2, 2], 3.17.c_bv_ci 
(-1, 1, 2), [16, 1, 2], 3.17.c_by_co 
(-8, 3, 8), [9, 3, 8], 3.17.d_an_adm 
(-8, 4, 7), [9, 4, 7], 3.17.d_aj_aes 
(-8, 5, 6), [9, 5, 6], 3.17.d_ah_afi 
(-7, 2, 8), [10, 2, 8], 3.17.d_ad_ak 
(-7, 4, 6), [10, 4, 6], 3.17.d_f_aco 
(-6, 1, 8), [11, 1, 8], 3.17.d_f_cc 
(-6, 2, 7), [11, 2, 7], 3.17.d_l_s 
(-6, 3, 6), [11, 3, 6], 3.17.d_p_ag 
(-4, -1, 8), [13, 16, 8], 3.17.d_p_fe 
(-6, 4, 5), [11, 4, 5], 3.17.d_r_as 
(-3, -2, 8), [14, 15, 8], 3.17.d_r_fu 
(-5, 2, 6), [12, 2, 6], 3.17.d_x_bq 
(-5, 4, 4), [12, 4, 4], 3.17.d_bb_w 
(-2, -2, 7), [15, 15, 7], 3.17.d_bb_fa 
(-4, 1, 6), [13, 1, 6], 3.17.d_bd_da 
(-4, 2, 5), [13, 2, 5], 3.17.d_bh_ck 
(-4, 3, 4), [13, 3, 4], 3.17.d_bj_cc 
(-2, -1, 6), [15, 16, 6], 3.17.d_bj_ek 
(-3, 2, 4), [14, 2, 4], 3.17.d_bp_da 
(-2, 1, 4), [15, 1, 4], 3.17.d_bt_dq 
(-2, 2, 3), [15, 2, 3], 3.17.d_bv_dm 
(-8, 4, 8), [9, 4, 8], 3.17.e_an_aeq 
(-8, 5, 7), [9, 5, 7], 3.17.e_ak_afo 
(-8, 6, 6), [9, 6, 6], 3.17.e_aj_afw 
(-7, 3, 8), [10, 3, 8], 3.17.e_ac_abg 
(-7, 4, 7), [10, 4, 7], 3.17.e_c_aci 
(-7, 5, 6), [10, 5, 6], 3.17.e_e_acw 
(-6, 2, 8), [11, 2, 8], 3.17.e_h_bo 
(-6, 3, 7), [11, 3, 7], 3.17.e_m_k 
(-5, 1, 8), [12, 1, 8], 3.17.e_o_ds 
(-6, 4, 6), [11, 4, 6], 3.17.e_p_ai 
(-6, 5, 5), [11, 5, 5], 3.17.e_q_ao 
(-5, 2, 7), [12, 2, 7], 3.17.e_u_co 
(-3, -1, 8), [14, 16, 8], 3.17.e_w_ge 
(-2, -2, 8), [15, 15, 8], 3.17.e_x_gm 
(-5, 3, 6), [12, 3, 6], 3.17.e_y_bu 
(-5, 4, 5), [12, 4, 5], 3.17.e_ba_bk 
(-4, 1, 7), [13, 1, 7], 3.17.e_ba_ee 
(-4, 2, 6), [13, 2, 6], 3.17.e_bf_dk 
(-2, -1, 7), [15, 16, 7], 3.17.e_bg_fu 
(-4, 3, 5), [13, 3, 5], 3.17.e_bi_cy 
(-4, 4, 4), [13, 4, 4], 3.17.e_bj_cu 
(-3, 1, 6), [14, 1, 6], 3.17.e_bk_eo 
(-3, 2, 5), [14, 2, 5], 3.17.e_bo_ec 
(-1, -1, 6), [16, 16, 6], 3.17.e_bo_fm 
(-3, 3, 4), [14, 3, 4], 3.17.e_bq_dw 
(-2, 1, 5), [15, 1, 5], 3.17.e_bs_ew 
(-2, 2, 4), [15, 2, 4], 3.17.e_bv_eq 
(-2, 3, 3), [15, 3, 3], 3.17.e_bw_eo 
(-1, 1, 4), [16, 1, 4], 3.17.e_by_fc 
(-1, 2, 3), [16, 2, 3], 3.17.e_ca_fa 
(-8, 5, 8), [9, 5, 8], 3.17.f_an_afu 
(-8, 6, 7), [9, 6, 7], 3.17.f_al_agk 
(-7, 4, 8), [10, 4, 8], 3.17.f_ab_acc 
(-7, 6, 6), [10, 6, 6], 3.17.f_d_ade 
(-6, 3, 8), [11, 3, 8], 3.17.f_j_ba 
(-6, 4, 7), [11, 4, 7], 3.17.f_n_c 
(-6, 5, 6), [11, 5, 6], 3.17.f_p_ak 
(-5, 2, 8), [12, 2, 8], 3.17.f_r_dm 
(-4, 1, 8), [13, 1, 8], 3.17.f_x_fi 
(-5, 4, 6), [12, 4, 6], 3.17.f_z_by 
