(-6, -1, 6), [2, 3, 2], 3.23.ab_bh_ak 
(-7, 2, 4), [1, 2, 0], 3.23.ab_bj_ady 
(-5, -2, 6), [3, 2, 2], 3.23.ab_bl_o 
(-4, -3, 6), [0, 1, 2], 3.23.ab_bn_ba 
(-6, 1, 4), [2, 1, 0], 3.23.ab_br_acs 
(-6, 2, 3), [2, 2, 3], 3.23.ab_bt_ade 
(-4, -2, 5), [0, 2, 1], 3.23.ab_bv_ag 
(-5, 2, 2), [3, 2, 2], 3.23.ab_cb_aco 
(-4, -1, 4), [0, 3, 0], 3.23.ab_cb_abe 
(-3, -2, 4), [1, 2, 0], 3.23.ab_cd_aw 
(-4, 1, 2), [0, 1, 2], 3.23.ab_ch_acc 
(-2, -2, 3), [2, 2, 3], 3.23.ab_cj_abi 
(-9, 1, 8), [3, 1, 0], 3.23.a_ae_acu 
(-8, -1, 9), [0, 3, 1], 3.23.a_ae_cu 
(-9, 2, 7), [3, 2, 3], 3.23.a_c_aew 
(-7, -2, 9), [1, 2, 1], 3.23.a_c_ew 
(-9, 3, 6), [3, 3, 2], 3.23.a_g_agg 
(-6, -3, 9), [2, 1, 1], 3.23.a_g_gg 
(-9, 4, 5), [3, 0, 1], 3.23.a_i_agy 
(-5, -4, 9), [3, 0, 1], 3.23.a_i_gy 
(-8, 1, 7), [0, 1, 3], 3.23.a_m_ace 
(-7, -1, 8), [1, 3, 0], 3.23.a_m_ce 
(-8, 2, 6), [0, 2, 2], 3.23.a_r_ads 
(-6, -2, 8), [2, 2, 0], 3.23.a_r_ds 
(-8, 3, 5), [0, 3, 1], 3.23.a_u_aeq 
(-5, -3, 8), [3, 1, 0], 3.23.a_u_eq 
(-8, 4, 4), [0, 0, 0], 3.23.a_v_aey 
(-4, -4, 8), [0, 0, 0], 3.23.a_v_ey 
(-7, 1, 6), [1, 1, 2], 3.23.a_ba_abq 
(-6, -1, 7), [2, 3, 3], 3.23.a_ba_bq 
(-7, 2, 5), [1, 2, 1], 3.23.a_be_acs 
(-5, -2, 7), [3, 2, 3], 3.23.a_be_cs 
(-7, 3, 4), [1, 3, 0], 3.23.a_bg_adg 
(-4, -3, 7), [0, 1, 3], 3.23.a_bg_dg 
(-6, 1, 5), [2, 1, 1], 3.23.a_bm_abe 
(-5, -1, 6), [3, 3, 2], 3.23.a_bm_be 
(-6, 2, 4), [2, 2, 0], 3.23.a_bp_abw 
(-4, -2, 6), [0, 2, 2], 3.23.a_bp_bw 
