(-8, 4, 6), [0, 0, 2], 3.17.c_af_aeu 
(-8, 5, 5), [0, 1, 1], 3.17.c_ae_afc 
(-7, 1, 8), [1, 1, 0], 3.17.c_ae_m 
(-7, 2, 7), [1, 2, 3], 3.17.c_c_abe 
(-7, 3, 6), [1, 3, 2], 3.17.c_g_acg 
(-7, 4, 5), [1, 0, 1], 3.17.c_i_acu 
(-5, -1, 8), [3, 3, 0], 3.17.c_i_ee 
(-6, 1, 7), [2, 1, 3], 3.17.c_k_ba 
(-4, -2, 8), [0, 2, 0], 3.17.c_l_fc 
(-3, -3, 8), [1, 1, 0], 3.17.c_m_fk 
(-6, 2, 6), [2, 2, 2], 3.17.c_p_ae 
(-6, 3, 5), [2, 3, 1], 3.17.c_s_aw 
(-6, 4, 4), [2, 0, 0], 3.17.c_t_abc 
(-4, -1, 7), [0, 3, 3], 3.17.c_u_ds 
(-5, 1, 6), [3, 1, 2], 3.17.c_w_bm 
(-3, -2, 7), [1, 2, 3], 3.17.c_w_eg 
(-5, 2, 5), [3, 2, 1], 3.17.c_ba_s 
(-5, 3, 4), [3, 3, 0], 3.17.c_bc_i 
(-3, -1, 6), [1, 3, 2], 3.17.c_be_di 
(-2, -2, 6), [2, 2, 2], 3.17.c_bf_do 
(-4, 1, 5), [0, 1, 1], 3.17.c_bg_bw 
(-4, 2, 4), [0, 2, 0], 3.17.c_bj_bk 
(-4, 3, 3), [0, 3, 3], 3.17.c_bk_bg 
(-2, -1, 5), [2, 3, 1], 3.17.c_bm_da 
(-3, 1, 4), [1, 1, 0], 3.17.c_bo_ce 
(-3, 2, 3), [1, 2, 3], 3.17.c_bq_by 
(-1, -1, 4), [3, 3, 0], 3.17.c_bs_cu 
(-2, 1, 3), [2, 1, 3], 3.17.c_bu_ck 
(-2, 2, 2), [2, 2, 2], 3.17.c_bv_ci 
(-1, 1, 2), [3, 1, 2], 3.17.c_by_co 
(-8, 3, 8), [0, 3, 0], 3.17.d_an_adm 
(-8, 4, 7), [0, 0, 3], 3.17.d_aj_aes 
(-8, 5, 6), [0, 1, 2], 3.17.d_ah_afi 
(-7, 2, 8), [1, 2, 0], 3.17.d_ad_ak 
(-7, 4, 6), [1, 0, 2], 3.17.d_f_aco 
(-6, 1, 8), [2, 1, 0], 3.17.d_f_cc 
(-6, 2, 7), [2, 2, 3], 3.17.d_l_s 
(-6, 3, 6), [2, 3, 2], 3.17.d_p_ag 
(-4, -1, 8), [0, 3, 0], 3.17.d_p_fe 
(-6, 4, 5), [2, 0, 1], 3.17.d_r_as 
(-3, -2, 8), [1, 2, 0], 3.17.d_r_fu 
(-5, 2, 6), [3, 2, 2], 3.17.d_x_bq 
(-5, 4, 4), [3, 0, 0], 3.17.d_bb_w 
(-2, -2, 7), [2, 2, 3], 3.17.d_bb_fa 
(-4, 1, 6), [0, 1, 2], 3.17.d_bd_da 
(-4, 2, 5), [0, 2, 1], 3.17.d_bh_ck 
(-4, 3, 4), [0, 3, 0], 3.17.d_bj_cc 
(-2, -1, 6), [2, 3, 2], 3.17.d_bj_ek 
(-3, 2, 4), [1, 2, 0], 3.17.d_bp_da 
(-2, 1, 4), [2, 1, 0], 3.17.d_bt_dq 
(-2, 2, 3), [2, 2, 3], 3.17.d_bv_dm 
(-8, 4, 8), [0, 0, 0], 3.17.e_an_aeq 
(-8, 5, 7), [0, 1, 3], 3.17.e_ak_afo 
(-8, 6, 6), [0, 2, 2], 3.17.e_aj_afw 
(-7, 3, 8), [1, 3, 0], 3.17.e_ac_abg 
(-7, 4, 7), [1, 0, 3], 3.17.e_c_aci 
(-7, 5, 6), [1, 1, 2], 3.17.e_e_acw 
(-6, 2, 8), [2, 2, 0], 3.17.e_h_bo 
(-6, 3, 7), [2, 3, 3], 3.17.e_m_k 
(-5, 1, 8), [3, 1, 0], 3.17.e_o_ds 
(-6, 4, 6), [2, 0, 2], 3.17.e_p_ai 
(-6, 5, 5), [2, 1, 1], 3.17.e_q_ao 
(-5, 2, 7), [3, 2, 3], 3.17.e_u_co 
(-3, -1, 8), [1, 3, 0], 3.17.e_w_ge 
(-2, -2, 8), [2, 2, 0], 3.17.e_x_gm 
(-5, 3, 6), [3, 3, 2], 3.17.e_y_bu 
(-5, 4, 5), [3, 0, 1], 3.17.e_ba_bk 
(-4, 1, 7), [0, 1, 3], 3.17.e_ba_ee 
(-4, 2, 6), [0, 2, 2], 3.17.e_bf_dk 
(-2, -1, 7), [2, 3, 3], 3.17.e_bg_fu 
(-4, 3, 5), [0, 3, 1], 3.17.e_bi_cy 
(-4, 4, 4), [0, 0, 0], 3.17.e_bj_cu 
(-3, 1, 6), [1, 1, 2], 3.17.e_bk_eo 
(-3, 2, 5), [1, 2, 1], 3.17.e_bo_ec 
(-1, -1, 6), [3, 3, 2], 3.17.e_bo_fm 
(-3, 3, 4), [1, 3, 0], 3.17.e_bq_dw 
(-2, 1, 5), [2, 1, 1], 3.17.e_bs_ew 
(-2, 2, 4), [2, 2, 0], 3.17.e_bv_eq 
(-2, 3, 3), [2, 3, 3], 3.17.e_bw_eo 
(-1, 1, 4), [3, 1, 0], 3.17.e_by_fc 
(-1, 2, 3), [3, 2, 3], 3.17.e_ca_fa 
(-8, 5, 8), [0, 1, 0], 3.17.f_an_afu 
(-8, 6, 7), [0, 2, 3], 3.17.f_al_agk 
(-7, 4, 8), [1, 0, 0], 3.17.f_ab_acc 
(-7, 6, 6), [1, 2, 2], 3.17.f_d_ade 
(-6, 3, 8), [2, 3, 0], 3.17.f_j_ba 
(-6, 4, 7), [2, 0, 3], 3.17.f_n_c 
(-6, 5, 6), [2, 1, 2], 3.17.f_p_ak 
(-5, 2, 8), [3, 2, 0], 3.17.f_r_dm 
(-4, 1, 8), [0, 1, 0], 3.17.f_x_fi 
(-5, 4, 6), [3, 0, 2], 3.17.f_z_by 
