(-2, -10, 67), [23, 15, 17], 3.25.am_ei_ayk 
(-6, -6, 51), [19, 19, 1], 3.25.am_ei_axi 
(-3, -9, 67), [22, 16, 17], 3.25.am_ep_azb 
(-3, -9, 69), [22, 16, 19], 3.25.am_er_azh 
(-9, -2, -29), [16, 23, 21], 3.25.al_o_gf 
(-9, -2, -27), [16, 23, 23], 3.25.al_q_fn 
(-9, -2, -23), [16, 23, 2], 3.25.al_u_ed 
(-9, -2, -21), [16, 23, 4], 3.25.al_w_dl 
(-9, -2, -19), [16, 23, 6], 3.25.al_y_ct 
(-9, -2, -17), [16, 23, 8], 3.25.al_ba_cb 
(-9, -2, -16), [16, 23, 9], 3.25.al_bb_bs 
(-9, -2, -14), [16, 23, 11], 3.25.al_bd_ba 
(-9, -2, -12), [16, 23, 13], 3.25.al_bf_i 
(-9, -2, -11), [16, 23, 14], 3.25.al_bg_ab 
(-9, -2, -9), [16, 23, 16], 3.25.al_bi_at 
(-9, -2, -7), [16, 23, 18], 3.25.al_bk_abl 
(-9, -2, -3), [16, 23, 22], 3.25.al_bo_acv 
(-9, -2, -1), [16, 23, 24], 3.25.al_bq_adn 
(-7, -4, -9), [18, 21, 16], 3.25.al_bs_afh 
(-9, -2, 1), [16, 23, 1], 3.25.al_bs_aef 
(-7, -4, -7), [18, 21, 18], 3.25.al_bu_afv 
(-9, -2, 3), [16, 23, 3], 3.25.al_bu_aex 
(-7, -4, -3), [18, 21, 22], 3.25.al_by_agx 
(-9, -2, 7), [16, 23, 7], 3.25.al_by_agh 
(-7, -4, -1), [18, 21, 24], 3.25.al_ca_ahl 
(-9, -2, 9), [16, 23, 9], 3.25.al_ca_agz 
(-7, -4, 1), [18, 21, 1], 3.25.al_cc_ahz 
(-9, -2, 11), [16, 23, 11], 3.25.al_cc_ahr 
(-7, -4, 3), [18, 21, 3], 3.25.al_ce_ain 
(-9, -2, 13), [16, 23, 13], 3.25.al_ce_aij 
(-8, -3, 7), [17, 22, 7], 3.25.al_ce_ahy 
(-8, -3, 8), [17, 22, 8], 3.25.al_cf_aig 
(-8, -3, 9), [17, 22, 9], 3.25.al_cg_aio 
(-9, -2, 17), [16, 23, 17], 3.25.al_ci_ajt 
(-7, -4, 7), [18, 21, 7], 3.25.al_ci_ajp 
(-8, -3, 11), [17, 22, 11], 3.25.al_ci_aje 
