(-9, -4, 29), [3, 0, 1], 3.23.an_dk_ard 
(-8, -5, 25), [0, 3, 1], 3.23.an_dk_aqo 
(-8, -5, 26), [0, 3, 2], 3.23.an_dl_aqw 
(-9, -4, 31), [3, 0, 3], 3.23.an_dm_arv 
(-7, -6, 25), [1, 2, 1], 3.23.an_dm_arj 
(-9, -4, 33), [3, 0, 1], 3.23.an_do_asn 
(-7, -6, 27), [1, 2, 3], 3.23.an_do_arx 
(-5, -8, 31), [3, 0, 3], 3.23.an_dq_aud 
(-9, -4, 35), [3, 0, 3], 3.23.an_dq_atf 
(-7, -6, 29), [1, 2, 1], 3.23.an_dq_asl 
(-5, -8, 33), [3, 0, 1], 3.23.an_ds_aun 
(-9, -4, 37), [3, 0, 1], 3.23.an_ds_atx 
(-7, -6, 31), [1, 2, 3], 3.23.an_ds_asz 
(1, -14, 89), [1, 2, 1], 3.23.an_du_avj 
(-5, -8, 35), [3, 0, 3], 3.23.an_du_aux 
(-9, -4, 39), [3, 0, 3], 3.23.an_du_aup 
(-7, -6, 33), [1, 2, 1], 3.23.an_du_atn 
(-7, -6, 35), [1, 2, 3], 3.23.an_dw_aub 
(-7, -6, 36), [1, 2, 0], 3.23.an_dx_aui 
(-9, -4, 43), [3, 0, 3], 3.23.an_dy_avz 
(-5, -8, 39), [3, 0, 3], 3.23.an_dy_avr 
(1, -14, 93), [1, 2, 1], 3.23.an_dy_avf 
(-7, -6, 37), [1, 2, 1], 3.23.an_dy_aup 
(-3, -10, 50), [1, 2, 2], 3.23.an_dz_axm 
(-7, -6, 38), [1, 2, 2], 3.23.an_dz_auw 
(-3, -10, 51), [1, 2, 3], 3.23.an_ea_axp 
(-9, -4, 45), [3, 0, 1], 3.23.an_ea_awr 
(-5, -8, 41), [3, 0, 1], 3.23.an_ea_awb 
(-2, -11, 60), [2, 1, 0], 3.23.an_eb_ayc 
(-7, -6, 40), [1, 2, 0], 3.23.an_eb_avk 
(-2, -11, 61), [2, 1, 1], 3.23.an_ec_aye 
(-1, -12, 71), [3, 0, 3], 3.23.an_ec_axz 
(-3, -10, 53), [1, 2, 1], 3.23.an_ec_axv 
(-9, -4, 47), [3, 0, 3], 3.23.an_ec_axj 
(-5, -8, 43), [3, 0, 3], 3.23.an_ec_awl 
(-7, -6, 41), [1, 2, 1], 3.23.an_ec_avr 
(-2, -11, 62), [2, 1, 2], 3.23.an_ed_ayg 
(-7, -6, 42), [1, 2, 2], 3.23.an_ed_avy 
(-2, -11, 63), [2, 1, 3], 3.23.an_ee_ayi 
(-5, -8, 45), [3, 0, 1], 3.23.an_ee_awv 
(-7, -6, 43), [1, 2, 3], 3.23.an_ee_awf 
(-2, -11, 65), [2, 1, 1], 3.23.an_eg_aym 
(-3, -10, 57), [1, 2, 1], 3.23.an_eg_ayh 
(-1, -12, 75), [3, 0, 3], 3.23.an_eg_ayd 
(-5, -8, 47), [3, 0, 3], 3.23.an_eg_axf 
(-7, -6, 45), [1, 2, 1], 3.23.an_eg_awt 
(-2, -11, 66), [2, 1, 2], 3.23.an_eh_ayo 
(-2, -11, 67), [2, 1, 3], 3.23.an_ei_ayq 
(-3, -10, 59), [1, 2, 3], 3.23.an_ei_ayn 
(-1, -12, 77), [3, 0, 1], 3.23.an_ei_ayf 
(-5, -8, 49), [3, 0, 1], 3.23.an_ei_axp 
(-7, -6, 47), [1, 2, 3], 3.23.an_ei_axh 
(-3, -10, 61), [1, 2, 1], 3.23.an_ek_ayt 
(-1, -12, 79), [3, 0, 3], 3.23.an_ek_ayh 
(-5, -8, 51), [3, 0, 3], 3.23.an_ek_axz 
(-7, -6, 49), [1, 2, 1], 3.23.an_ek_axv 
(-6, -7, 49), [2, 1, 1], 3.23.an_ek_axs 
(-6, -7, 50), [2, 1, 2], 3.23.an_el_axy 
(-3, -10, 63), [1, 2, 3], 3.23.an_em_ayz 
(-6, -7, 51), [2, 1, 3], 3.23.an_em_aye 
(-3, -10, 64), [1, 2, 0], 3.23.an_en_azc 
(-3, -10, 65), [1, 2, 1], 3.23.an_eo_azf 
(-7, -6, 53), [1, 2, 1], 3.23.an_eo_ayx 
(-5, -8, 55), [3, 0, 3], 3.23.an_eo_ayt 
(-6, -7, 53), [2, 1, 1], 3.23.an_eo_ayq 
(-3, -10, 66), [1, 2, 2], 3.23.an_ep_azi 
(-5, -8, 56), [3, 0, 0], 3.23.an_ep_ayy 
(-6, -7, 54), [2, 1, 2], 3.23.an_ep_ayw 
(-5, -8, 57), [3, 0, 1], 3.23.an_eq_azd 
(-6, -7, 55), [2, 1, 3], 3.23.an_eq_azc 
(-3, -10, 68), [1, 2, 0], 3.23.an_er_azo 
(-4, -9, 63), [0, 3, 3], 3.23.an_es_azq 
(-5, -8, 59), [3, 0, 3], 3.23.an_es_azn 
(-5, -8, 60), [3, 0, 0], 3.23.an_et_azs 
(-4, -9, 65), [0, 3, 1], 3.23.an_eu_azy 
(-9, -3, -17), [3, 1, 3], 3.23.am_bh_p 
(-9, -3, -15), [3, 1, 1], 3.23.am_bj_ad 
(-9, -3, -11), [3, 1, 1], 3.23.am_bn_abn 
(-9, -3, -9), [3, 1, 3], 3.23.am_bp_acf 
(-9, -3, -7), [3, 1, 1], 3.23.am_br_acx 
(-9, -3, -5), [3, 1, 3], 3.23.am_bt_adp 
(-8, -4, 13), [0, 0, 1], 3.23.am_cq_alc 
(-8, -4, 15), [0, 0, 3], 3.23.am_cs_als 
(-7, -5, 29), [1, 3, 1], 3.23.am_dj_aqr 
(-7, -5, 31), [1, 3, 3], 3.23.am_dl_arf 
(-7, -5, 33), [1, 3, 1], 3.23.am_dn_art 
(-7, -5, 35), [1, 3, 3], 3.23.am_dp_ash 
(-1, -11, 60), [3, 1, 0], 3.23.am_dq_avu 
(-1, -11, 65), [3, 1, 1], 3.23.am_dv_avz 
(-2, -10, 57), [2, 2, 1], 3.23.am_dw_awc 
(-2, -10, 61), [2, 2, 1], 3.23.am_ea_awk 
(-6, -6, 45), [2, 2, 1], 3.23.am_ea_ava 
(-2, -10, 63), [2, 2, 3], 3.23.am_ec_awo 
(-6, -6, 47), [2, 2, 3], 3.23.am_ec_avm 
(-3, -9, 57), [1, 3, 1], 3.23.am_ed_awn 
