(-6, -8, 32), [2, 0, 0], 3.23.ao_dz_avo 
(-9, -5, 35), [3, 3, 3], 3.23.ao_dz_auz 
(-7, -7, 31), [1, 1, 3], 3.23.ao_dz_aut 
(-8, -6, 32), [0, 2, 0], 3.23.ao_dz_aum 
(-6, -8, 33), [2, 0, 1], 3.23.ao_ea_avu 
(-9, -5, 36), [3, 3, 0], 3.23.ao_ea_avi 
(-7, -7, 32), [1, 1, 0], 3.23.ao_ea_ava 
(-8, -6, 33), [0, 2, 1], 3.23.ao_ea_auu 
(-6, -8, 34), [2, 0, 2], 3.23.ao_eb_awa 
(-9, -5, 37), [3, 3, 1], 3.23.ao_eb_avr 
(-7, -7, 33), [1, 1, 1], 3.23.ao_eb_avh 
(-8, -6, 34), [0, 2, 2], 3.23.ao_eb_avc 
(1, -15, 98), [1, 1, 2], 3.23.ao_ec_awu 
(-6, -8, 35), [2, 0, 3], 3.23.ao_ec_awg 
(-9, -5, 38), [3, 3, 2], 3.23.ao_ec_awa 
(-7, -7, 34), [1, 1, 2], 3.23.ao_ec_avo 
(-8, -6, 35), [0, 2, 3], 3.23.ao_ec_avk 
(1, -15, 99), [1, 1, 3], 3.23.ao_ed_awt 
(-6, -8, 36), [2, 0, 0], 3.23.ao_ed_awm 
(-9, -5, 39), [3, 3, 3], 3.23.ao_ed_awj 
(-7, -7, 35), [1, 1, 3], 3.23.ao_ed_avv 
(-8, -6, 36), [0, 2, 0], 3.23.ao_ed_avs 
(-7, -7, 36), [1, 1, 0], 3.23.ao_ee_awc 
(-8, -6, 37), [0, 2, 1], 3.23.ao_ee_awa 
(-5, -9, 41), [3, 3, 1], 3.23.ao_ef_axv 
(-9, -5, 41), [3, 3, 1], 3.23.ao_ef_axb 
(-6, -8, 38), [2, 0, 2], 3.23.ao_ef_awy 
(1, -15, 101), [1, 1, 1], 3.23.ao_ef_awr 
(-7, -7, 37), [1, 1, 1], 3.23.ao_ef_awj 
(-8, -6, 38), [0, 2, 2], 3.23.ao_ef_awi 
(-5, -9, 42), [3, 3, 2], 3.23.ao_eg_aya 
(-9, -5, 42), [3, 3, 2], 3.23.ao_eg_axk 
(-6, -8, 39), [2, 0, 3], 3.23.ao_eg_axe 
(-5, -9, 43), [3, 3, 3], 3.23.ao_eh_ayf 
(-9, -5, 43), [3, 3, 3], 3.23.ao_eh_axt 
(-6, -8, 40), [2, 0, 0], 3.23.ao_eh_axk 
(-8, -6, 40), [0, 2, 0], 3.23.ao_eh_awy 
