(-1, -8, 40), [3, 0, 0], 3.17.aj_cn_ama 
(-5, -4, 28), [3, 0, 0], 3.17.aj_cn_akq 
(-3, -6, 31), [1, 2, 3], 3.17.aj_co_all 
(-1, -8, 42), [3, 0, 2], 3.17.aj_cp_amc 
(-5, -4, 30), [3, 0, 2], 3.17.aj_cp_ala 
(-1, -8, 43), [3, 0, 3], 3.17.aj_cq_amd 
(-3, -6, 33), [1, 2, 1], 3.17.aj_cq_alr 
(-5, -4, 31), [3, 0, 3], 3.17.aj_cq_alf 
(-1, -8, 44), [3, 0, 0], 3.17.aj_cr_ame 
(-5, -4, 32), [3, 0, 0], 3.17.aj_cr_alk 
(-1, -8, 45), [3, 0, 1], 3.17.aj_cs_amf 
(-3, -6, 35), [1, 2, 3], 3.17.aj_cs_alx 
(-4, -5, 33), [0, 3, 1], 3.17.aj_cs_alq 
(-5, -4, 33), [3, 0, 1], 3.17.aj_cs_alp 
(-2, -7, 41), [2, 1, 1], 3.17.aj_cu_ami 
(-1, -8, 47), [3, 0, 3], 3.17.aj_cu_amh 
(-3, -6, 37), [1, 2, 1], 3.17.aj_cu_amd 
(-5, -4, 35), [3, 0, 3], 3.17.aj_cu_alz 
(-4, -5, 35), [0, 3, 3], 3.17.aj_cu_aly 
(-2, -7, 42), [2, 1, 2], 3.17.aj_cv_amk 
(-1, -8, 48), [3, 0, 0], 3.17.aj_cv_ami 
(-4, -5, 36), [0, 3, 0], 3.17.aj_cv_amc 
(-2, -7, 43), [2, 1, 3], 3.17.aj_cw_amm 
(-4, -5, 37), [0, 3, 1], 3.17.aj_cw_amg 
(-3, -6, 40), [1, 2, 0], 3.17.aj_cx_amm 
(-2, -7, 45), [2, 1, 1], 3.17.aj_cy_amq 
(-3, -6, 41), [1, 2, 1], 3.17.aj_cy_amp 
(-4, -5, 39), [0, 3, 3], 3.17.aj_cy_amo 
(-8, 0, -33), [0, 0, 3], 3.17.ai_aq_ke 
(-8, 0, -32), [0, 0, 0], 3.17.ai_ap_jw 
(-8, 0, -31), [0, 0, 1], 3.17.ai_ao_jo 
(-8, 0, -29), [0, 0, 3], 3.17.ai_am_iy 
(-8, 0, -28), [0, 0, 0], 3.17.ai_al_iq 
(-8, 0, -27), [0, 0, 1], 3.17.ai_ak_ii 
(-8, 0, -26), [0, 0, 2], 3.17.ai_aj_ia 
(-8, 0, -23), [0, 0, 1], 3.17.ai_ag_hc 
(-8, 0, -19), [0, 0, 1], 3.17.ai_ac_fw 
(-7, -1, -23), [1, 3, 1], 3.17.ai_b_ex 
(-8, 0, -13), [0, 0, 3], 3.17.ai_e_ea 
(-7, -1, -11), [1, 3, 1], 3.17.ai_n_br 
(-7, -1, -9), [1, 3, 3], 3.17.ai_p_bd 
(-7, -1, -7), [1, 3, 1], 3.17.ai_r_p 
(-7, -1, -5), [1, 3, 3], 3.17.ai_t_b 
(-7, -1, -1), [1, 3, 3], 3.17.ai_x_abb 
(-6, -2, 9), [2, 2, 1], 3.17.ai_bm_aes 
(-6, -2, 11), [2, 2, 3], 3.17.ai_bo_afe 
(-2, -6, 19), [2, 2, 3], 3.17.ai_bw_aji 
(-5, -3, 21), [3, 1, 1], 3.17.ai_cb_ahz 
(-5, -3, 23), [3, 1, 3], 3.17.ai_cd_aij 
(-5, -3, 25), [3, 1, 1], 3.17.ai_cf_ait 
(-5, -3, 27), [3, 1, 3], 3.17.ai_ch_ajd 
(-1, -7, 37), [3, 1, 1], 3.17.ai_cj_akp 
(-1, -7, 39), [3, 1, 3], 3.17.ai_cl_akr 
(-1, -7, 41), [3, 1, 1], 3.17.ai_cn_akt 
(-4, -4, 33), [0, 0, 1], 3.17.ai_co_aki 
(-1, -7, 43), [3, 1, 3], 3.17.ai_cp_akv 
(-4, -4, 35), [0, 0, 3], 3.17.ai_cq_akq 
(-3, -5, 37), [1, 3, 1], 3.17.ai_cr_akv 
