(3, -9, 41), [3, 3, 1], 3.16.ag_be_agj 
(-7, 1, 21), [1, 1, 1], 3.16.ag_be_ael 
(-3, -3, 5), [1, 1, 1], 3.16.ag_be_aeh 
(-5, -1, 9), [3, 3, 1], 3.16.ag_be_acz 
(-1, -5, 11), [3, 3, 3], 3.16.ag_bg_agp 
(3, -9, 43), [3, 3, 3], 3.16.ag_bg_agd 
(-7, 1, 23), [1, 1, 3], 3.16.ag_bg_aez 
(-3, -3, 7), [1, 1, 3], 3.16.ag_bg_aen 
(-1, -5, 13), [3, 3, 1], 3.16.ag_bi_agr 
(3, -9, 45), [3, 3, 1], 3.16.ag_bi_afx 
(-7, 1, 25), [1, 1, 1], 3.16.ag_bi_afn 
(-3, -3, 9), [1, 1, 1], 3.16.ag_bi_aet 
(1, -7, 27), [1, 1, 3], 3.16.ag_bk_ahp 
(-1, -5, 15), [3, 3, 3], 3.16.ag_bk_agt 
(-7, 1, 27), [1, 1, 3], 3.16.ag_bk_agb 
(3, -9, 47), [3, 3, 3], 3.16.ag_bk_afr 
(-3, -3, 11), [1, 1, 3], 3.16.ag_bk_aez 
